	8/31	コープみらい - コープ葛飾白鳥店	PayPay W		-7501			2025-08	食費
	8/31	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-3129			2025-08	食費
	8/30	マカロニ市場 - 松戸店	PayPay W		-152			2025-08	食費
	8/30	マカロニ市場 - 松戸店	PayPay W		-8336			2025-08	食費
	8/29	から好し - から好し金町店	PayPay W		-1445			2025-08	食費
	8/29	FEPA - FEPA CAFE＆PATISSERIE	PayPay W		-8822			2025-08	食費
	8/29	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-781			2025-08	食費
	8/28	イケア - IKEA新三郷	PayPay W		-100			2025-08	食費
	8/28	イケア - IKEA新三郷	PayPay W		-1198			2025-08	食費
	8/28	イケア - IKEA新三郷	PayPay W		-250			2025-08	食費
	8/28	イケア - IKEA新三郷	PayPay W		-3750			2025-08	食費
	8/27	東急ストア - フロプレステージュ　金町東急ストア	PayPay W		-2118			2025-08	食費
	8/27	東急ストア - 金町店	PayPay W		-2496			2025-08	食費
	8/27	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-2873			2025-08	食費
	8/26	東急ストア - フロプレステージュ　金町東急ストア	PayPay W		-1456			2025-08	食費
	8/26	東急ストア - 金町店	PayPay W		-3755			2025-08	食費
	8/26	ファミリーマート - 東金町一丁目	PayPay W		-510			2025-08	食費
	8/26	Cafe sweets＋ - Cafe sweets＋	PayPay W		-5181			2025-08	食費
	8/26	Cafe sweets＋ - Cafe sweets＋	PayPay W		-5181			2025-08	食費
	8/25	サーティワン アイスクリーム - イオンスタイルレイクタウン	PayPay W		-1990			2025-08	食費
	8/25	スターバックス コーヒー - 越谷イオンレイクタウン mori 3階店	PayPay W		-435			2025-08	食費
	8/25	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-494			2025-08	食費
	8/24	セブン-イレブン - 二葉町	PayPay W		-371			2025-08	食費
	8/23	コープみらい - コープ葛飾白鳥店	PayPay W		-8675			2025-08	食費
	8/23	コモディイイダ - ９５　金町店	PayPay W		-138			2025-08	食費
	8/22	東急ストア - 金町店	PayPay W		-7730			2025-08	食費
	8/22	ファミリーマート - 金町六丁目	PayPay W		-513			2025-08	食費
	8/21	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-2898			2025-08	食費
	8/20	ファミリーマート - 金町六丁目	PayPay W		-510			2025-08	食費
	8/19	東急ストア - 金町店	PayPay W		-6600			2025-08	食費
	8/18	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-1136			2025-08	食費
	8/18	立ち食い処　屋台連 - 立ち食い処 屋台連	PayPay W		-1260			2025-08	食費
	8/18	ネクスコ東日本SA/PA - 上河内SA上り線ショッピング1021	PayPay W		-1360			2025-08	食費
	8/17	たいかん亭 - 玉屋	PayPay W		-6140			2025-08	食費
	8/14	スターバックス コーヒー - 弘前公園前店	PayPay W		-3270			2025-08	食費
	8/13	ローソン - 能代昭南町	PayPay W		-334			2025-08	食費
	8/13	ローソン - 能代昭南町	PayPay W		-1805			2025-08	食費
	8/13	ファミリーマート - 鶴岡湯野浜	PayPay W		-2676			2025-08	食費
	8/12	ガスト - ガスト天童店	PayPay W		-4010			2025-08	食費
	8/11	スターバックス コーヒー - カインズ会津若松店	PayPay W		-2301			2025-08	食費
	8/11	スターバックス コーヒー - 友部サービスエリア（下り線）店	PayPay W		-564			2025-08	食費
	8/10	すし銚子丸 - 松戸岩瀬店	PayPay W		-9273			2025-08	食費
	8/10	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-533			2025-08	食費
	8/9	星乃珈琲店 - 葛飾南水元	PayPay W		-2990			2025-08	食費
	8/9	コメダ珈琲店 - コメダ珈琲店　金町南口店	PayPay W		-5700			2025-08	食費
	8/9	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-550			2025-08	食費
	8/8	から好し - から好し金町店	PayPay W		-1950			2025-08	食費
	8/8	マクドナルド - マクドナルド金町北口店	PayPay W		-2520			2025-08	食費
	8/8	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-192			2025-08	食費
	8/8	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-220			2025-08	食費
	8/7	東急ストア - フロプレステージュ　金町東急ストア	PayPay W		-1592			2025-08	食費
	8/7	東急ストア - 新宿さぼてん　金町東急ストア	PayPay W		-2180			2025-08	食費
	8/7	東急ストア - 金町店	PayPay W		-3054			2025-08	食費
	8/7	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-192			2025-08	食費
	8/6	東急ストア - フロプレステージュ　金町東急ストア	PayPay W		-938			2025-08	食費
	8/6	東急ストア - 金町店	PayPay W		-3994			2025-08	食費
	8/6	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-583			2025-08	食費
	8/5	サーティワン アイスクリーム - イオンレイクタウン	PayPay W		-1990			2025-08	食費
	8/5	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-220			2025-08	食費
	8/4	サーティワン アイスクリーム - イオンレイクタウン	PayPay W		-2080			2025-08	食費
	8/4	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-2866			2025-08	食費
	8/3	肉の万世 - 亀有店	PayPay W		-9335			2025-08	食費
	8/3	PARK COFFEE - PARK COFFEE	PayPay W		-800			2025-08	食費
	8/1	東急ストア - 金町店	PayPay W		-2667			2025-08	食費
	8/1	セブン-イレブン - 葛飾東金町２丁目	PayPay W		-523			2025-08	食費
	8/31	しまむら - しまむら　コープ葛飾白鳥店	PayPay W		-6006			2025-08	諸々
	8/31	ダイソー - コープ葛飾白鳥店	PayPay W		-1430			2025-08	諸々
	8/31	スギ薬局グループ - スギドラッグ葛飾白鳥店	PayPay W		-5115			2025-08	諸々
	8/28	SANZOKU - インベーダー商店	PayPay W		-950			2025-08	諸々
	8/28	SANZOKU - インベーダー商店	PayPay W		-605			2025-08	諸々
	8/25	イオンリテール - イオンスタイルレイクタウン	PayPay W		-8841			2025-08	諸々
	8/25	イオンリテール - イオンレイクタウンmori	PayPay W		-4860			2025-08	諸々
	8/24	ユアー・パーキング - ユアーパーキング二葉第11	PayPay W		-2200			2025-08	諸々
	8/22	SANZOKU - インベーダー商店	PayPay W		-605			2025-08	諸々
	8/17	鈴木屋物産 - 鈴木屋物産店	PayPay W		-660			2025-08	諸々
	8/15	小岩井農場まきば園　山麓館売店 - 小岩井農場まきば園　山麓館売店	PayPay W		-605			2025-08	諸々
	8/15	小岩井農場まきば園 - 小岩井農場まきば園　入場券販売窓口	PayPay W		-1900			2025-08	諸々
	8/15	龍泉洞わっか - 龍泉洞わっか	PayPay W		-11000			2025-08	諸々
	8/14	青森ふるさとショップ　アイモリー - 青森ふるさとショップ　アイモリー	PayPay W		-6880			2025-08	諸々
	8/14	ねぶたの家ワ・ラッセ	PayPay W		-1500			2025-08	諸々
	8/14	ウエルシア - ハッピー・ドラッグ青森鰺ヶ沢店	PayPay W		-2508			2025-08	諸々
	8/13	山本組 - 窪畑ファーム　ファーマーズマルシェ	PayPay W		-650			2025-08	諸々
	8/6	SANZOKU - インベーダー商店	PayPay W		-605			2025-08	諸々
	8/5	イオンリテール - イオンレイクタウンmori	PayPay W		-7480			2025-08	諸々
	8/5	イオンリテール - イオンレイクタウンmori	PayPay W		-3160			2025-08	諸々
	8/5	スキッズガーデン（セルフレジ） - スキッズガーデン　レイクタウン店	PayPay W		-6800			2025-08	諸々
	8/4	イオンリテール - イオンレイクタウンmori	PayPay W		-3050			2025-08	諸々
	8/4	スキッズガーデン（セルフレジ） - スキッズガーデン　レイクタウン店	PayPay W		-4200			2025-08	諸々
	8/4	未来屋書店 - 未来屋書店レイクタウン	PayPay W		-484			2025-08	諸々
	8/3	ダイソー - 三郷鷹野店（１Ｆ）	PayPay W		-880			2025-08	諸々
	8/3	ユアー・パーキング - ユアーパーキング二葉第11	PayPay W		-3600			2025-08	諸々
	8/1	エコロパーク - エコロパーク 西新橋第６	PayPay W		-3700			2025-08	諸々
	8/26	スポーツオアシス - スポーツオアシス金町	PayPay W		-1100			2025-08	経費
	8/8	dance place FELICE - dance place FELICE	PayPay W		-2500			2025-08	経費
	8/1	カナマチぷらっと - カナマチぷらっと	PayPay W		-1700			2025-08	経費
