	8/29	Apple	USAA	-29.99		Ulysses subscription		2025-08	諸々
	8/27	Dispel Dice Dispeldice Coca	USAA	-86.00		Dispel Dice preorder		2025-08	Wおかづかい
	8/24	OpenAI	USAA	-22.00		Business Services		2025-08	諸々
	8/13	Apple	USAA	-37.95		Apple One		2025-08	諸々
	8/13	Ott Dropout	USAA	-5.99		Dropout subscription		2025-08	Wおかづかい
	8/10	Patreon	USAA	-5.00		Patreon pledge		2025-08	Wおかづかい
	8/10	Onebookshel	USAA	-17.90		Fabula Ultima download		2025-08	Wおかづかい
	8/8	Off Book Clubhouse Offbookclca	USAA	-5.00		Off Book membership		2025-08	Wおかづかい
	8/5	Apple	USAA	-74.99		The Way membership		2025-08	Wおかづかい
	8/4	YouTube Premium	USAA	-13.99		YouTube Premium family plan		2025-08	Wおかづかい
	8/3	Kickstarter	USAA	-75.00		Off Book Kickstarter reward		2025-08	Wおかづかい
